county_fips,TractLOWI,TractHUNV,TractSNAP,LAPOP1_10,LAPOP1_20,state_abbr,state_name,DIABETES,OBESITY
06057,27064.0,1689.0,2542.0,34333.0,33824.0,CA,California,9.45,27.55
06059,842554.0,45380.0,66052.0,261045.0,261045.0,CA,California,10.05,25.35
06061,70175.0,5405.0,5799.0,111251.0,110037.0,CA,California,8.5,26.4
06063,5490.0,453.0,688.0,1261.0,0.0,CA,California,10.7,29.45
06065,820194.0,30713.0,69908.0,536040.0,525730.0,CA,California,11.55,36.1
06067,509721.0,37651.0,62142.0,238546.0,236840.0,CA,California,11.0,31.799999999999997
06069,15632.0,424.0,1630.0,9879.0,9365.0,CA,California,10.7,31.05
06071,806627.0,32180.0,96733.0,501808.0,494203.0,CA,California,12.350000000000001,38.1
06073,944867.0,61486.0,81106.0,462035.0,453560.0,CA,California,10.05,23.799999999999997
06075,192988.0,109968.0,16968.0,4706.0,4706.0,CA,California,9.45,18.75
06077,266472.0,14450.0,32857.0,98777.0,98546.0,CA,California,12.05,33.3
06079,73535.0,4557.0,5019.0,50210.0,46894.0,CA,California,9.55,29.75
06081,134732.0,14038.0,9215.0,75563.0,74131.0,CA,California,9.5,21.15
06083,149633.0,8052.0,11748.0,51900.0,49072.0,CA,California,10.55,29.35
06085,358741.0,32645.0,29566.0,151214.0,150968.0,CA,California,9.3,18.6
06087,80176.0,5234.0,8222.0,59254.0,59240.0,CA,California,9.25,24.75
06089,65946.0,4788.0,7670.0,35905.0,31851.0,CA,California,10.3,30.9
06091,814.0,67.0,162.0,2859.0,105.0,CA,California,10.7,29.9
06093,18404.0,1350.0,2341.0,12860.0,7701.0,CA,California,11.8,32.7
06095,110345.0,7541.0,13493.0,89524.0,89464.0,CA,California,10.85,29.9
06097,124452.0,9223.0,12254.0,64341.0,62273.0,CA,California,9.350000000000001,28.6
06099,211750.0,11100.0,25313.0,49752.0,49143.0,CA,California,11.85,34.75
06101,37496.0,1934.0,4113.0,25089.0,23747.0,CA,California,11.65,31.5
06103,29198.0,1802.0,3373.0,12115.0,8904.0,CA,California,11.95,34.1
06105,5323.0,320.0,641.0,2428.0,449.0,CA,California,13.149999999999999,33.1
06107,236187.0,8274.0,30496.0,49420.0,45756.0,CA,California,13.55,35.35
06109,15324.0,1055.0,2194.0,15411.0,15188.0,CA,California,10.149999999999999,29.35
06111,216567.0,11400.0,19500.0,122611.0,122393.0,CA,California,10.25,26.95
06113,74501.0,5482.0,6685.0,27477.0,21144.0,CA,California,9.7,26.8
06115,28396.0,1852.0,4109.0,15487.0,15206.0,CA,California,10.95,33.9
08001,149580.0,7794.0,16254.0,79140.0,77961.0,CO,Colorado,8.45,31.450000000000003
08003,7480.0,506.0,1480.0,4278.0,3605.0,CO,Colorado,10.7,29.7
08005,148437.0,11799.0,16227.0,78022.0,76983.0,CO,Colorado,7.6,25.35
08007,4343.0,65.0,440.0,4940.0,3953.0,CO,Colorado,9.35,24.75
08009,1596.0,100.0,220.0,956.0,298.0,CO,Colorado,10.649999999999999,28.450000000000003
08011,1970.0,167.0,459.0,808.0,54.0,CO,Colorado,12.15,32.8
08013,75306.0,6707.0,6699.0,50451.0,49847.0,CO,Colorado,6.5,17.15
08014,9593.0,821.0,831.0,21134.0,21134.0,CO,Colorado,6.25,25.950000000000003
08015,5902.0,485.0,476.0,1924.0,1137.0,CO,Colorado,8.5,24.75
08017,624.0,16.0,89.0,622.0,443.0,CO,Colorado,8.9,26.4
08019,1846.0,116.0,292.0,1116.0,0.0,CO,Colorado,7.25,24.15
08021,4275.0,195.0,705.0,466.0,48.0,CO,Colorado,12.25,30.299999999999997
08023,2196.0,164.0,493.0,3524.0,2928.0,CO,Colorado,14.5,31.65
08025,2250.0,64.0,221.0,107.0,37.0,CO,Colorado,11.399999999999999,32.900000000000006
08027,1789.0,47.0,148.0,1036.0,0.0,CO,Colorado,9.1,24.5
08029,12136.0,595.0,1544.0,2725.0,2363.0,CO,Colorado,10.15,27.25
08031,213745.0,29335.0,26362.0,64735.0,64735.0,CO,Colorado,7.15,22.0
08033,692.0,12.0,64.0,2064.0,1666.0,CO,Colorado,8.85,26.05
08035,29241.0,2389.0,2169.0,78035.0,76243.0,CO,Colorado,5.9,23.35
08037,12954.0,304.0,459.0,8271.0,7700.0,CO,Colorado,7.35,21.549999999999997
08039,4022.0,180.0,323.0,6106.0,1421.0,CO,Colorado,7.6,23.35
08041,183119.0,10895.0,24307.0,177463.0,167923.0,CO,Colorado,7.45,27.950000000000003
08043,13524.0,937.0,2479.0,24170.0,21242.0,CO,Colorado,9.5,29.15
08045,15449.0,599.0,1272.0,9932.0,9705.0,CO,Colorado,7.8,25.2
08047,741.0,126.0,125.0,0.0,0.0,CO,Colorado,7.4,26.0
08049,3992.0,140.0,317.0,419.0,0.0,CO,Colorado,7.65,22.6
08051,5340.0,197.0,444.0,1499.0,413.0,CO,Colorado,6.75,23.6
08053,305.0,10.0,13.0,99.0,2.0,CO,Colorado,7.9,24.1
08055,2707.0,285.0,523.0,2435.0,666.0,CO,Colorado,10.95,28.6
08057,447.0,9.0,33.0,381.0,50.0,CO,Colorado,9.8,28.3
08059,107015.0,9242.0,10504.0,123877.0,123640.0,CO,Colorado,7.05,24.25
08061,536.0,29.0,85.0,1398.0,1289.0,CO,Colorado,9.649999999999999,27.9
08063,2553.0,128.0,233.0,2167.0,247.0,CO,Colorado,9.7,30.35
08065,3231.0,139.0,290.0,3306.0,3306.0,CO,Colorado,7.7,23.799999999999997
08067,12989.0,571.0,921.0,7623.0,4272.0,CO,Colorado,7.4,21.55
08069,87864.0,5486.0,8583.0,69675.0,67177.0,CO,Colorado,6.9,24.4
08071,5660.0,618.0,1338.0,4930.0,2081.0,CO,Colorado,11.649999999999999,30.75
08073,1165.0,73.0,171.0,1254.0,674.0,CO,Colorado,9.5,29.5
08075,7587.0,695.0,981.0,5493.0,2097.0,CO,Colorado,9.350000000000001,30.2
08077,47972.0,2860.0,7030.0,47674.0,42775.0,CO,Colorado,8.6,28.75
08079,221.0,6.0,8.0,91.0,29.0,CO,Colorado,7.6,23.450000000000003
08081,4651.0,262.0,611.0,5813.0,5020.0,CO,Colorado,9.399999999999999,28.9
08083,9533.0,255.0,1364.0,3679.0,1171.0,CO,Colorado,9.5,27.1
08085,14698.0,957.0,2030.0,9076.0,7872.0,CO,Colorado,9.25,25.75
08087,10149.0,490.0,1374.0,4235.0,3381.0,CO,Colorado,9.6,28.4
08089,8950.0,640.0,1427.0,2117.0,1931.0,CO,Colorado,11.95,33.2
08091,1149.0,56.0,153.0,235.0,0.0,CO,Colorado,7.75,23.6
08093,3599.0,132.0,205.0,8732.0,457.0,CO,Colorado,8.05,25.200000000000003
08095,1346.0,70.0,156.0,207.0,0.0,CO,Colorado,9.899999999999999,28.3
08097,3194.0,389.0,192.0,1560.0,962.0,CO,Colorado,6.5,19.9
08099,5324.0,280.0,936.0,3753.0,2604.0,CO,Colorado,10.75,29.1
08101,65376.0,4890.0,11822.0,66124.0,62686.0,CO,Colorado,11.3,36.0
08103,1765.0,62.0,175.0,573.0,117.0,CO,Colorado,8.899999999999999,27.1
08105,4343.0,476.0,835.0,2108.0,760.0,CO,Colorado,10.35,26.700000000000003
08107,5777.0,285.0,274.0,2838.0,1487.0,CO,Colorado,6.9,21.2
08109,3313.0,243.0,466.0,2067.0,763.0,CO,Colorado,11.5,28.65
08111,159.0,20.0,13.0,694.0,0.0,CO,Colorado,8.75,25.6
08113,2054.0,128.0,111.0,719.0,87.0,CO,Colorado,7.300000000000001,25.3
08115,934.0,56.0,175.0,442.0,0.0,CO,Colorado,10.45,28.2
08117,7266.0,153.0,268.0,2620.0,2268.0,CO,Colorado,6.7,21.65
08119,5955.0,181.0,933.0,4134.0,3960.0,CO,Colorado,8.2,26.4
08121,1446.0,97.0,147.0,2485.0,964.0,CO,Colorado,9.149999999999999,27.9
08123,77952.0,3637.0,8593.0,58455.0,55009.0,CO,Colorado,7.85,28.799999999999997
08125,3907.0,181.0,371.0,2300.0,859.0,CO,Colorado,9.25,29.0
09001,195066.0,26098.0,30180.0,255544.0,255544.0,CT,Connecticut,8.25,24.95
09003,214398.0,36883.0,52403.0,244717.0,244717.0,CT,Connecticut,10.65,33.349999999999994
09005,32013.0,3942.0,5880.0,43705.0,43705.0,CT,Connecticut,8.65,26.95
09007,27087.0,3637.0,5357.0,58929.0,58929.0,CT,Connecticut,8.6,31.0
09009,216498.0,38419.0,50172.0,269515.0,269515.0,CT,Connecticut,9.95,31.25
09011,59703.0,6618.0,12577.0,106957.0,106957.0,CT,Connecticut,9.5,30.85
09013,23757.0,2484.0,3704.0,49890.0,49890.0,CT,Connecticut,8.15,28.3
